+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
| plant_id |                  scientific_name                  |        common_name        |  plant_family   |     plant_type      |                                sunlight_list                                |        cycle         | watering | maintenance | pruning_frequency | toxic_to_pets |
|   2468   |               Dieffenbachia seguine               |         dumb cane         |     Araceae     |        Herb         |                  ["filtered shade","part sun/part shade"]                   | Herbaceous Perennial | Average  |  Moderate   |                   |       1       |
|   2498   |                 Dionaea muscipula                 |      Venus fly trap       |   Droseraceae   |     Carnivorous     |                     ["full sun","part sun/part shade"]                      | Herbaceous Perennial | Average  |    High     |  2 time per year  |       0       |
|   2499   |           Dionaea muscipula 'Akai Ryu'            |      Venus fly trap       |   Droseraceae   |     Carnivorous     |                          ["full sun","part shade"]                          | Herbaceous Perennial | Average  |    High     |                   |       0       |
|   2500   |          Dionaea muscipula 'Cup-shaped'           |      Venus fly trap       |   Droseraceae   |     Carnivorous     |                          ["full sun","part shade"]                          | Herbaceous Perennial | Minimum  |    High     |  2 time per year  |       0       |
|   2501   |          Dionaea muscipula 'King Henry'           |      Venus fly trap       |   Droseraceae   |     Carnivorous     |                          ["full sun","part shade"]                          | Herbaceous Perennial | Frequent |    High     |  1 time per year  |       0       |
|   2528   |                 Dracaena fragrans                 |     fragrant dracaena     |  Asparagaceae   | Broadleaf evergreen |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |     Low     |                   |       0       |
|   2529   | Dracaena fragrans (Deremensis Group) 'Lemon Lime' |     striped dracaena      |  Asparagaceae   | Broadleaf evergreen |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |     Low     |                   |       0       |
|   2530   | Dracaena fragrans (Deremensis Group) 'Limelight'  |     striped dracaena      |  Asparagaceae   | Broadleaf evergreen |                    ["part shade","part sun/part shade"]                     |      Perennial       | Minimum  |     Low     |                   |       0       |
|   2531   |                Dracaena marginata                 |        dragontree         |  Asparagaceae   | Broadleaf evergreen |               ["part shade","full sun","part sun/part shade"]               |      Perennial       | Average  |     Low     |                   |       0       |
|   2532   |           Dracaena reflexa 'Variegata'            |       song of India       |  Asparagaceae   | Broadleaf evergreen |               ["part shade","full sun","part sun/part shade"]               |      Perennial       | Minimum  |     Low     |                   |       0       |
